station,member_casual,latitude,longitude,number_of_rides
Fairbanks St & Superior St,casual,41.89576245365332,-87.62014098538671,2198
Calumet Ave & 21st St,casual,41.854157202832425,-87.61915521820127,2196
Clark St & 9th St (AMLI),casual,41.87081312178341,-87.6311954518894,2170
Ashland Ave & Wrightwood Ave,casual,41.9288150367037,-87.66853802577778,2160
Chicago Ave & Sheridan Rd,casual,42.0504861833256,-87.67781718211039,2156
Ellis Ave & 58th St,casual,41.788719712597405,-87.60129413140538,2156
Wells St & Institute Pl,casual,41.89742825570037,-87.63442803289425,2156
Campbell Ave & North Ave,casual,41.91053555519517,-87.689564461408,2152
Broadway & Ridge Ave,casual,41.98404250597196,-87.66030106989253,2140
Lincoln Ave & Sunnyside Ave,casual,41.96297607923588,-87.6848651261177,2107
Damen Ave & Wellington Ave,casual,41.93586541182336,-87.67841118790598,2106
Sheridan Rd & Loyola Ave,casual,42.00108819959924,-87.66123803175573,2096
Canal St & Taylor St,casual,41.87020986984089,-87.63947635862584,2074
Sheridan Rd & Lawrence Ave,casual,41.969490334782826,-87.65470599657881,2049
Wood St & Chicago Ave,casual,41.895620125860376,-87.67210601976402,2034
Ada St & Washington Blvd,casual,41.88283233455853,-87.66120225747024,2016
Spaulding Ave & Armitage Ave,casual,41.91710998271642,-87.71024608836318,2010
Leavitt St & Chicago Ave,casual,41.89547367565088,-87.68196336975062,2005
Leavitt St & Armitage Ave,casual,41.91778405929465,-87.68244481468234,1999
Halsted St & Roosevelt Rd,casual,41.867361736364096,-87.64863571613716,1983
Logan Blvd & Elston Ave,casual,41.92945294378979,-87.6841667768671,1979
Albany Ave & Bloomingdale Ave,casual,41.914008952012225,-87.70513978043302,1963
Morgan St & 18th St,casual,41.85809252890138,-87.65108295332652,1957
Leavitt St & Belmont Ave,casual,41.93933977461381,-87.6832546456931,1955
Sedgwick St & Schiller St,casual,41.907621484683155,-87.63852378931993,1941
Lincoln Ave & Roscoe St*,casual,41.94333676591237,-87.67073795619588,1940
Ashland Ave & Chicago Ave,casual,41.89594420742605,-87.66771453741048,1927
Milwaukee Ave & Rockwell St,casual,41.920206958839145,-87.6926325766788,1921
Wood St & Augusta Blvd,casual,41.899162535742676,-87.67216960610355,1912
Ashland Ave & Augusta Blvd,casual,41.899630194976375,-87.66806145328609,1905
Blue Island Ave & 18th St,casual,41.85749133750396,-87.6615867392665,1895
Damen Ave & Foster Ave,casual,41.97562956145327,-87.67946180072933,1851
Damen Ave & Clybourn Ave,casual,41.93191453731083,-87.67781217011976,1837
